,zcr
0,"[0.01269531 0.02539062 0.03710938 0.04980469 0.04882812 0.04785156
 0.109375   0.12011719 0.12695312 0.11523438 0.05810547 0.0546875
 0.06152344 0.06152344 0.05664062 0.10253906 0.09228516 0.13769531
 0.1640625  0.16552734 0.27148438 0.35791016 0.43261719 0.50732422
 0.51660156 0.53808594 0.56201172 0.57861328 0.61132812 0.55957031
 0.51464844 0.43701172 0.36328125 0.35693359 0.36914062 0.40087891
 0.4453125  0.42529297 0.41064453 0.40673828 0.375      0.42382812
 0.39599609 0.34765625 0.31347656 0.25146484 0.20800781 0.15380859
 0.09130859 0.04003906 0.02832031 0.02734375 0.02636719 0.0234375
 0.02294922 0.02099609 0.05517578 0.09375    0.13525391 0.16357422
 0.13769531 0.10449219 0.0703125  0.05566406 0.05371094 0.05078125
 0.04589844 0.0390625  0.03466797 0.03710938 0.08984375 0.14208984
 0.17919922 0.20166016 0.17333984 0.12890625 0.09228516 0.06445312
 0.03808594 0.02685547 0.02539062 0.02978516 0.03320312 0.03369141
 0.03662109 0.03515625 0.03564453 0.04492188 0.0546875  0.07128906
 0.09912109 0.09423828 0.08056641 0.06103516 0.02832031 0.0234375
 0.02197266 0.01855469 0.015625   0.01123047 0.01074219 0.01074219
 0.01171875 0.01318359 0.01953125 0.02099609 0.02294922 0.02392578
 0.0234375  0.02587891 0.02539062 0.02636719 0.0234375  0.02392578
 0.02978516 0.02929688 0.02929688 0.02734375 0.02050781 0.02099609
 0.02148438 0.0234375  0.02148438 0.01660156 0.01318359 0.01171875
 0.01953125 0.02392578 0.02392578 0.02441406 0.01855469 0.01708984
 0.01953125 0.01855469 0.01953125 0.01904297 0.01904297 0.02197266
 0.02246094 0.02441406 0.02392578 0.02148438 0.02148438 0.01953125
 0.02099609 0.02148438 0.0234375  0.02587891 0.03076172 0.03808594
 0.04052734 0.04785156 0.08251953 0.10644531 0.13623047 0.18017578
 0.18164062 0.21533203 0.22802734 0.23828125 0.2578125  0.28759766
 0.31152344 0.33203125 0.34814453 0.34619141 0.3984375  0.39648438
 0.40527344 0.37353516 0.36474609 0.35888672 0.36669922 0.4140625
 0.36035156 0.36279297 0.32177734 0.2890625  0.32910156 0.38232422
 0.43554688 0.45507812 0.42480469 0.32324219 0.22998047 0.22265625
 0.16503906 0.15917969 0.20654297 0.22363281 0.29785156 0.33251953
 0.32226562 0.31005859 0.34130859 0.36914062 0.37304688 0.36279297
 0.31347656 0.29931641 0.33398438 0.32324219 0.29052734 0.28320312
 0.24902344 0.24462891 0.33056641 0.34619141 0.37451172 0.41455078
 0.40625    0.40966797 0.421875   0.38964844 0.35546875 0.37548828
 0.34667969 0.36572266 0.39990234 0.35595703 0.36572266 0.40087891
 0.35546875 0.35449219 0.34326172 0.22021484 0.17480469 0.18554688
 0.12109375 0.12109375 0.19238281 0.11669922 0.13476562 0.13476562
 0.03710938 0.06884766 0.11621094 0.15136719 0.15136719 0.11962891
 0.04785156 0.        ]"
1,"[0.16357422 0.23291016 0.28564453 0.2890625  0.29003906 0.25488281
 0.23486328 0.21386719 0.12109375 0.09863281 0.13378906 0.17382812
 0.25097656 0.3515625  0.40234375 0.38964844 0.33740234 0.22558594
 0.15185547 0.1328125  0.19726562 0.32177734 0.41064453 0.48535156
 0.51904297 0.51904297 0.53027344 0.55322266 0.51464844 0.48486328
 0.40722656 0.32910156 0.35839844 0.40283203 0.45849609 0.50048828
 0.53710938 0.54589844 0.52734375 0.54150391 0.47119141 0.47021484
 0.44921875 0.38183594 0.37402344 0.30175781 0.27490234 0.24169922
 0.17236328 0.10400391 0.04833984 0.01855469 0.01904297 0.01855469
 0.02099609 0.01904297 0.02832031 0.03417969 0.0703125  0.12255859
 0.16503906 0.19824219 0.16748047 0.11914062 0.0703125  0.03369141
 0.02783203 0.02929688 0.03662109 0.03417969 0.03515625 0.03173828
 0.02148438 0.04736328 0.11425781 0.16796875 0.2109375  0.22265625
 0.16992188 0.11572266 0.07080078 0.03613281 0.0234375  0.02734375
 0.03173828 0.03125    0.03173828 0.03076172 0.03076172 0.03417969
 0.03613281 0.03808594 0.06201172 0.09326172 0.13134766 0.12841797
 0.10058594 0.06298828 0.01904297 0.01464844 0.01464844 0.01318359
 0.01123047 0.01074219 0.01269531 0.01269531 0.01171875 0.01464844
 0.01269531 0.01660156 0.02001953 0.02148438 0.0234375  0.02392578
 0.0234375  0.02490234 0.02490234 0.02392578 0.02783203 0.02734375
 0.03027344 0.03173828 0.02587891 0.02392578 0.02001953 0.015625
 0.01708984 0.01416016 0.01269531 0.01611328 0.02148438 0.03710938
 0.03955078 0.03710938 0.03173828 0.01953125 0.01855469 0.01904297
 0.01953125 0.01806641 0.01855469 0.02050781 0.01904297 0.02197266
 0.02197266 0.01953125 0.02001953 0.015625   0.015625   0.01464844
 0.01269531 0.01464844 0.01953125 0.03076172 0.04638672 0.06005859
 0.07080078 0.08300781 0.09277344 0.11035156 0.13183594 0.15576172
 0.18945312 0.20458984 0.24365234 0.26464844 0.27880859 0.32568359
 0.35400391 0.38427734 0.40869141 0.45019531 0.4375     0.41601562
 0.43212891 0.36621094 0.39501953 0.41357422 0.37939453 0.43261719
 0.37939453 0.35107422 0.34033203 0.32910156 0.35107422 0.36572266
 0.36865234 0.35253906 0.36376953 0.37548828 0.40234375 0.36132812
 0.34716797 0.35205078 0.32421875 0.37304688 0.36328125 0.30615234
 0.31201172 0.28710938 0.29980469 0.31738281 0.26025391 0.24414062
 0.17431641 0.18164062 0.17382812 0.12011719 0.140625   0.07324219
 0.06982422 0.09082031 0.046875   0.06738281 0.09277344 0.06054688
 0.09375    0.11865234 0.18945312 0.20117188 0.16796875 0.13378906
 0.0234375  0.0546875  0.14746094 0.14355469 0.16015625 0.23779297
 0.19140625 0.18359375 0.16650391 0.13818359 0.18652344 0.26611328
 0.26660156 0.17431641 0.12939453 0.07324219 0.10644531 0.10644531
 0.08007812 0.16796875 0.18164062 0.19433594 0.17089844]"
2,"[0.04589844 0.04589844 0.06738281 0.08886719 0.08886719 0.11230469
 0.18066406 0.15869141 0.18457031 0.16113281 0.07080078 0.07373047
 0.11523438 0.12695312 0.15576172 0.14453125 0.1953125  0.24609375
 0.25439453 0.36230469 0.39160156 0.48535156 0.59863281 0.56201172
 0.55419922 0.50048828 0.44677734 0.42675781 0.38867188 0.33349609
 0.25976562 0.22802734 0.14160156 0.16601562 0.24121094 0.31640625
 0.42724609 0.46386719 0.46337891 0.47412109 0.47412109 0.48095703
 0.45507812 0.32617188 0.20947266 0.09814453 0.03125    0.02490234
 0.02490234 0.03027344 0.03173828 0.03125    0.03564453 0.03369141
 0.03613281 0.03759766 0.03369141 0.03564453 0.02978516 0.02685547
 0.02441406 0.02001953 0.02050781 0.02050781 0.05175781 0.08642578
 0.12646484 0.16894531 0.17773438 0.16113281 0.13085938 0.09082031
 0.05029297 0.03222656 0.03173828 0.06982422 0.12109375 0.18457031
 0.24902344 0.27246094 0.28173828 0.28125    0.26953125 0.25634766
 0.21289062 0.14941406 0.08691406 0.03662109 0.01855469 0.02392578
 0.02832031 0.02734375 0.02734375 0.02197266 0.01855469 0.01806641
 0.02148438 0.01904297 0.01660156 0.01416016 0.01025391 0.00976562
 0.00976562 0.00976562 0.01171875 0.01416016 0.01708984 0.02294922
 0.02636719 0.02636719 0.02734375 0.02783203 0.02685547 0.02783203
 0.02636719 0.02490234 0.02587891 0.02587891 0.02392578 0.02246094
 0.02050781 0.01806641 0.01855469 0.01660156 0.015625   0.01953125
 0.02929688 0.03955078 0.04248047 0.0390625  0.03125    0.0234375
 0.02148438 0.02148438 0.02148438 0.02099609 0.02001953 0.02050781
 0.02001953 0.01953125 0.02001953 0.02294922 0.0234375  0.02392578
 0.02734375 0.02441406 0.02050781 0.01757812 0.02050781 0.02148438
 0.02880859 0.04003906 0.03613281 0.04492188 0.0625     0.07519531
 0.10546875 0.15527344 0.17675781 0.21142578 0.28466797 0.2890625
 0.29052734 0.33447266 0.34667969 0.35986328 0.43505859 0.43457031
 0.42382812 0.46630859 0.43945312 0.46826172 0.48242188 0.45507812
 0.45507812 0.42480469 0.4140625  0.39599609 0.38964844 0.39404297
 0.37207031 0.34521484 0.34619141 0.34912109 0.37011719 0.39550781
 0.33789062 0.31591797 0.30664062 0.25390625 0.26171875 0.27099609
 0.22412109 0.23828125 0.24707031 0.20410156 0.19628906 0.16992188
 0.12988281 0.09814453 0.10839844 0.14941406 0.14941406 0.15185547
 0.09082031 0.03710938 0.02539062 0.         0.0234375  0.06542969
 0.15527344 0.15527344 0.13671875 0.15625    0.10644531 0.16308594
 0.15771484 0.09667969 0.11132812 0.09472656 0.09472656 0.13085938
 0.15332031 0.18359375 0.24121094 0.24316406 0.19873047 0.17578125
 0.15234375 0.11425781 0.08105469 0.11279297 0.11962891 0.20410156
 0.29833984 0.31347656 0.35302734 0.30908203 0.21484375]"
3,"[0.11230469 0.11230469 0.13671875 0.09130859 0.10644531 0.10644531
 0.08300781 0.10351562 0.11621094 0.12890625 0.12744141 0.06054688
 0.08691406 0.13671875 0.13671875 0.15332031 0.09765625 0.05859375
 0.07324219 0.1171875  0.14550781 0.20947266 0.29101562 0.23242188
 0.19580078 0.15136719 0.06738281 0.06542969 0.0546875  0.01171875
 0.08789062 0.09960938 0.12402344 0.17089844 0.21044922 0.33398438
 0.40625    0.51074219 0.50732422 0.47998047 0.51904297 0.48095703
 0.38916016 0.30371094 0.17285156 0.06396484 0.04003906 0.0234375
 0.02636719 0.02929688 0.03027344 0.03222656 0.03320312 0.03369141
 0.03222656 0.03320312 0.03173828 0.03125    0.02929688 0.02294922
 0.02441406 0.02490234 0.05029297 0.10009766 0.16357422 0.21875
 0.24414062 0.22314453 0.16503906 0.11132812 0.06787109 0.04296875
 0.04199219 0.06201172 0.1015625  0.15185547 0.22119141 0.27539062
 0.30908203 0.33789062 0.32128906 0.296875   0.21923828 0.13964844
 0.08007812 0.02880859 0.02832031 0.03662109 0.03808594 0.03564453
 0.03417969 0.02148438 0.01660156 0.01416016 0.01123047 0.01123047
 0.01660156 0.01757812 0.01855469 0.01953125 0.01660156 0.01855469
 0.02539062 0.02978516 0.03222656 0.03173828 0.02734375 0.02539062
 0.02441406 0.02587891 0.02539062 0.02880859 0.03076172 0.02685547
 0.02294922 0.01660156 0.01660156 0.01611328 0.01513672 0.01953125
 0.01660156 0.02832031 0.03125    0.02783203 0.03076172 0.02050781
 0.02294922 0.02441406 0.02001953 0.02050781 0.01904297 0.01806641
 0.01904297 0.01806641 0.01806641 0.01708984 0.01660156 0.01464844
 0.01269531 0.01171875 0.01074219 0.01318359 0.01464844 0.02001953
 0.02441406 0.03417969 0.04638672 0.05175781 0.05957031 0.06298828
 0.07714844 0.12744141 0.16064453 0.19726562 0.22265625 0.22314453
 0.24365234 0.26953125 0.32275391 0.33642578 0.37158203 0.34326172
 0.33496094 0.36376953 0.31640625 0.37744141 0.37304688 0.35058594
 0.38037109 0.39648438 0.42236328 0.47460938 0.51757812 0.46923828
 0.45996094 0.43701172 0.40136719 0.42578125 0.44189453 0.41748047
 0.47119141 0.46777344 0.4453125  0.41503906 0.37011719 0.36181641
 0.37451172 0.41748047 0.39941406 0.37158203 0.29589844 0.31103516
 0.29638672 0.27246094 0.28320312 0.23144531 0.24707031 0.27539062
 0.265625   0.20019531 0.12597656 0.13574219 0.18652344 0.28759766
 0.38623047 0.37841797 0.34082031 0.33105469 0.30322266 0.36523438
 0.40917969 0.375      0.38232422 0.32910156 0.29150391 0.32421875
 0.30517578 0.33837891 0.36572266 0.3671875  0.359375   0.25341797
 0.2421875  0.24267578 0.24169922 0.36669922 0.38183594 0.32666016
 0.37597656 0.24609375]"
4,"[0.         0.03027344 0.03027344 0.04199219 0.04199219 0.01171875
 0.04785156 0.04785156 0.04785156 0.08203125 0.10839844 0.13476562
 0.18359375 0.14941406 0.08691406 0.04882812 0.01171875 0.01171875
 0.01171875 0.08007812 0.12011719 0.16699219 0.21679688 0.25683594
 0.27050781 0.33447266 0.41357422 0.375      0.40185547 0.359375
 0.31347656 0.25683594 0.26367188 0.26269531 0.27832031 0.40625
 0.45068359 0.51855469 0.52636719 0.52880859 0.54785156 0.56201172
 0.53173828 0.44384766 0.33642578 0.24169922 0.22216797 0.22363281
 0.21484375 0.18798828 0.13476562 0.08203125 0.04101562 0.01953125
 0.02099609 0.0234375  0.02539062 0.02441406 0.02294922 0.02050781
 0.01904297 0.02001953 0.02050781 0.01855469 0.01416016 0.01171875
 0.01953125 0.02880859 0.06152344 0.13427734 0.19726562 0.27197266
 0.31298828 0.30810547 0.28710938 0.22070312 0.14892578 0.08496094
 0.03369141 0.01708984 0.02148438 0.02050781 0.02099609 0.03222656
 0.03320312 0.0546875  0.05664062 0.07128906 0.11083984 0.13623047
 0.16210938 0.15869141 0.13818359 0.1171875  0.11425781 0.11621094
 0.10693359 0.08447266 0.06152344 0.04101562 0.02880859 0.02783203
 0.02978516 0.03173828 0.02685547 0.02880859 0.04394531 0.05664062
 0.07568359 0.08984375 0.10693359 0.13964844 0.15966797 0.18017578
 0.15673828 0.10839844 0.06884766 0.02880859 0.01367188 0.01171875
 0.01171875 0.01123047 0.01074219 0.01074219 0.01123047 0.01123047
 0.01171875 0.01220703 0.01171875 0.01367188 0.01708984 0.02294922
 0.02734375 0.02978516 0.03173828 0.03027344 0.02880859 0.02685547
 0.02490234 0.02685547 0.02490234 0.02832031 0.02539062 0.01806641
 0.01806641 0.01269531 0.01269531 0.01367188 0.01904297 0.0234375
 0.02832031 0.03710938 0.0546875  0.05322266 0.04931641 0.03955078
 0.01757812 0.01611328 0.01611328 0.01660156 0.01660156 0.01611328
 0.01757812 0.01855469 0.01904297 0.01904297 0.01953125 0.02148438
 0.02392578 0.02539062 0.02392578 0.02246094 0.02539062 0.02832031
 0.03710938 0.05322266 0.06884766 0.08105469 0.09716797 0.109375
 0.12988281 0.16992188 0.21582031 0.27246094 0.28857422 0.32861328
 0.34716797 0.34667969 0.37695312 0.35498047 0.33935547 0.32861328
 0.32373047 0.32421875 0.31103516 0.32128906 0.31396484 0.27929688
 0.27636719 0.29589844 0.29199219 0.31884766 0.34570312 0.33398438
 0.34521484 0.34570312 0.33447266 0.33935547 0.31298828 0.31347656
 0.34228516 0.30957031 0.35302734 0.36035156 0.33447266 0.37011719
 0.34277344 0.33544922 0.33007812 0.34130859 0.35595703 0.37646484
 0.41601562 0.36865234 0.40039062 0.35351562 0.30371094 0.33447266
 0.2890625  0.2421875  0.24658203 0.20263672 0.23046875 0.23046875
 0.20361328 0.20214844 0.15722656 0.21972656 0.17431641 0.23925781
 0.22607422 0.24023438 0.28710938 0.16992188 0.17871094 0.16113281
 0.171875   0.171875   0.11621094 0.0703125  0.12109375 0.19238281
 0.20410156 0.26025391 0.18408203 0.20214844 0.203125   0.13378906
 0.1015625 ]"
5,"[0.04589844 0.04589844 0.08203125 0.08203125 0.04882812 0.10546875
 0.06933594 0.11621094 0.10351562 0.05957031 0.09619141 0.06640625
 0.09863281 0.13964844 0.16503906 0.23583984 0.24316406 0.21875
 0.19335938 0.13378906 0.11816406 0.11425781 0.08984375 0.109375
 0.19287109 0.18359375 0.19140625 0.14941406 0.07324219 0.0859375
 0.09082031 0.08496094 0.06542969 0.04980469 0.02441406 0.08935547
 0.21289062 0.32763672 0.453125   0.51806641 0.48925781 0.47753906
 0.40673828 0.34326172 0.30517578 0.24560547 0.25683594 0.23583984
 0.20361328 0.15185547 0.09082031 0.05126953 0.02148438 0.02099609
 0.02294922 0.02148438 0.02197266 0.02001953 0.02001953 0.02099609
 0.02099609 0.02490234 0.02099609 0.02392578 0.03662109 0.0859375
 0.13671875 0.18896484 0.22802734 0.21875    0.18310547 0.13867188
 0.08447266 0.04345703 0.02929688 0.01513672 0.01660156 0.01513672
 0.01611328 0.01757812 0.01708984 0.01611328 0.015625   0.01318359
 0.01269531 0.01855469 0.01757812 0.01953125 0.02294922 0.02294922
 0.03173828 0.04638672 0.09423828 0.12597656 0.14208984 0.15185547
 0.11425781 0.09912109 0.09375    0.07421875 0.06298828 0.04443359
 0.02929688 0.02929688 0.03027344 0.03320312 0.03710938 0.03320312
 0.04296875 0.05615234 0.06005859 0.07080078 0.07666016 0.08251953
 0.09765625 0.12597656 0.14794922 0.13671875 0.10986328 0.07226562
 0.02978516 0.01708984 0.01708984 0.01318359 0.01367188 0.01123047
 0.00976562 0.00976562 0.00830078 0.00927734 0.01074219 0.01025391
 0.00976562 0.00927734 0.00878906 0.01074219 0.01367188 0.01904297
 0.02490234 0.03027344 0.03271484 0.03369141 0.03173828 0.03125
 0.02783203 0.02490234 0.02587891 0.02148438 0.02246094 0.02587891
 0.02294922 0.02685547 0.02880859 0.02587891 0.02539062 0.01904297
 0.01416016 0.01171875 0.01220703 0.01611328 0.03173828 0.04541016
 0.04394531 0.04296875 0.02929688 0.01660156 0.01806641 0.01708984
 0.01708984 0.01611328 0.01464844 0.01416016 0.01318359 0.01367188
 0.01318359 0.01171875 0.01513672 0.01367188 0.01416016 0.01513672
 0.01220703 0.01220703 0.01855469 0.02050781 0.02441406 0.03369141
 0.03759766 0.04833984 0.07080078 0.07519531 0.10791016 0.11523438
 0.14013672 0.17626953 0.1875     0.21630859 0.2265625  0.25292969
 0.25732422 0.29492188 0.35986328 0.36669922 0.39160156 0.38330078
 0.3828125  0.39208984 0.39990234 0.42138672 0.39160156 0.37695312
 0.35302734 0.328125   0.31494141 0.30273438 0.32275391 0.35791016
 0.33496094 0.36523438 0.35693359 0.33105469 0.37548828 0.34960938
 0.34570312 0.35888672 0.36035156 0.38671875 0.36474609 0.33935547
 0.38427734 0.36425781 0.32617188 0.37207031 0.25878906 0.21679688
 0.25878906 0.17919922 0.21582031 0.20898438 0.14746094 0.11914062
 0.04003906 0.01171875 0.01171875 0.01171875 0.01171875 0.01171875
 0.06445312 0.05273438 0.07617188 0.07617188 0.0234375  0.0234375
 0.         0.03417969 0.04589844 0.12060547 0.1640625  0.14160156
 0.12988281]"
6,"[0.03222656 0.06835938 0.13476562 0.13574219 0.171875   0.18359375
 0.19628906 0.16308594 0.1953125  0.24023438 0.16113281 0.19921875
 0.16650391 0.13330078 0.19140625 0.17675781 0.20214844 0.18945312
 0.19824219 0.21875    0.20410156 0.18261719 0.20703125 0.26464844
 0.35107422 0.37646484 0.38720703 0.41894531 0.41943359 0.48730469
 0.51123047 0.51171875 0.52636719 0.56884766 0.53662109 0.54638672
 0.50537109 0.44482422 0.44140625 0.37841797 0.37744141 0.35595703
 0.28466797 0.20800781 0.10400391 0.03173828 0.01855469 0.02539062
 0.02880859 0.03320312 0.0390625  0.0390625  0.03955078 0.04003906
 0.03955078 0.03710938 0.03710938 0.03369141 0.02929688 0.02880859
 0.02734375 0.02636719 0.02587891 0.0234375  0.02246094 0.02001953
 0.01855469 0.01806641 0.01513672 0.01269531 0.00976562 0.01953125
 0.08642578 0.15625    0.23632812 0.28955078 0.28125    0.27001953
 0.20996094 0.14892578 0.09277344 0.03710938 0.02050781 0.02148438
 0.03466797 0.05273438 0.09521484 0.15527344 0.19873047 0.23339844
 0.24169922 0.23828125 0.24755859 0.25585938 0.26855469 0.27050781
 0.26855469 0.25927734 0.20703125 0.14453125 0.08105469 0.03125
 0.02441406 0.02978516 0.03222656 0.03027344 0.02929688 0.02783203
 0.02783203 0.02636719 0.02050781 0.01757812 0.01318359 0.01220703
 0.01269531 0.01025391 0.01025391 0.00878906 0.00878906 0.00878906
 0.00830078 0.00976562 0.00927734 0.00976562 0.01123047 0.01269531
 0.01367188 0.01513672 0.02246094 0.02636719 0.03027344 0.03369141
 0.02783203 0.02685547 0.02490234 0.02392578 0.02441406 0.02197266
 0.02294922 0.02441406 0.02392578 0.03369141 0.03173828 0.02734375
 0.02636719 0.01464844 0.01318359 0.01123047 0.00927734 0.01513672
 0.0234375  0.03955078 0.04003906 0.03759766 0.03417969 0.01953125
 0.0234375  0.02197266 0.01904297 0.02001953 0.02050781 0.01953125
 0.01806641 0.01660156 0.01318359 0.01220703 0.01171875 0.01171875
 0.00976562 0.00878906 0.00830078 0.00878906 0.00878906 0.01171875
 0.01855469 0.02832031 0.04541016 0.05810547 0.07226562 0.08740234
 0.11035156 0.140625   0.14501953 0.14599609 0.16015625 0.18310547
 0.24707031 0.28662109 0.31445312 0.32421875 0.29150391 0.30761719
 0.32080078 0.34375    0.38232422 0.38183594 0.38134766 0.36230469
 0.30859375 0.27734375 0.27148438 0.26074219 0.31738281 0.37744141
 0.41357422 0.43017578 0.41943359 0.44628906 0.45263672 0.47021484
 0.45214844 0.36914062 0.31640625 0.32568359 0.33691406 0.37744141
 0.36474609 0.30126953 0.27539062 0.23339844 0.22265625 0.28417969
 0.2578125  0.29150391 0.32519531 0.30566406 0.36230469 0.31787109
 0.25488281 0.15820312 0.0859375  0.05078125 0.03076172 0.08789062
 0.12744141 0.16699219 0.17285156 0.14355469 0.10253906 0.11328125
 0.11523438 0.13476562 0.21435547 0.19335938 0.25585938 0.22021484
 0.14208984 0.12792969 0.06445312 0.06445312 0.05175781 0.02441406
 0.03173828 0.05664062 0.11376953 0.15625    0.13623047 0.09960938
 0.04199219]"
7,"[0.04052734 0.09277344 0.11425781 0.14257812 0.16601562 0.12695312
 0.1171875  0.10009766 0.15625    0.15917969 0.19238281 0.27050781
 0.28808594 0.38378906 0.44775391 0.48974609 0.55078125 0.59472656
 0.61523438 0.52441406 0.38623047 0.28662109 0.18457031 0.15234375
 0.12890625 0.15429688 0.24658203 0.23730469 0.23046875 0.15283203
 0.09667969 0.14404297 0.17480469 0.20458984 0.18994141 0.2109375
 0.29003906 0.34960938 0.38183594 0.34277344 0.28125    0.33300781
 0.33496094 0.30859375 0.26171875 0.12109375 0.04443359 0.02294922
 0.02099609 0.02246094 0.02539062 0.02734375 0.02929688 0.03027344
 0.02929688 0.02832031 0.02880859 0.02783203 0.02734375 0.02685547
 0.02441406 0.0234375  0.02294922 0.02197266 0.02148438 0.02148438
 0.02001953 0.02246094 0.02099609 0.01855469 0.01806641 0.015625
 0.01953125 0.04150391 0.08935547 0.14111328 0.18310547 0.18847656
 0.15185547 0.10253906 0.05761719 0.03027344 0.01757812 0.01757812
 0.03271484 0.07177734 0.12744141 0.18896484 0.24365234 0.28076172
 0.29980469 0.30273438 0.29589844 0.28662109 0.26757812 0.2421875
 0.17626953 0.11572266 0.0625     0.02294922 0.02783203 0.02539062
 0.03173828 0.03222656 0.03125    0.03222656 0.02441406 0.02294922
 0.02246094 0.01806641 0.01611328 0.01367188 0.01025391 0.01025391
 0.01025391 0.00976562 0.01025391 0.00976562 0.00976562 0.00976562
 0.01220703 0.01171875 0.01513672 0.01757812 0.01660156 0.01904297
 0.01904297 0.02148438 0.02246094 0.0234375  0.02099609 0.01953125
 0.01806641 0.02099609 0.02246094 0.02197266 0.02148438 0.03417969
 0.03320312 0.03320312 0.03369141 0.01660156 0.01269531 0.01025391
 0.00927734 0.0078125  0.0234375  0.03222656 0.03271484 0.03564453
 0.02294922 0.01708984 0.01806641 0.02050781 0.02197266 0.02099609
 0.02197266 0.01855469 0.01708984 0.01708984 0.01611328 0.01513672
 0.01513672 0.01269531 0.01367188 0.01269531 0.00976562 0.01367188
 0.01269531 0.02490234 0.03320312 0.05029297 0.06982422 0.07324219
 0.09228516 0.08984375 0.09570312 0.11669922 0.13232422 0.1640625
 0.18310547 0.19921875 0.22900391 0.24560547 0.27587891 0.32958984
 0.36181641 0.39111328 0.38818359 0.37890625 0.34033203 0.34570312
 0.37451172 0.36865234 0.38232422 0.37451172 0.33349609 0.33251953
 0.37207031 0.39648438 0.45849609 0.50244141 0.48730469 0.421875
 0.38720703 0.33496094 0.29248047 0.2890625  0.31152344 0.33789062
 0.38427734 0.37548828 0.34179688 0.30419922 0.25683594 0.30175781
 0.34667969 0.34960938 0.37792969 0.38378906 0.34326172 0.33349609
 0.30957031 0.29638672 0.31835938 0.35009766 0.39257812 0.43457031
 0.44091797 0.45654297 0.39453125 0.28613281 0.25634766 0.21972656
 0.30224609 0.30273438 0.24414062 0.24365234 0.21679688 0.25244141
 0.25585938 0.17822266 0.07617188 0.10839844 0.1015625  0.13867188
 0.22167969 0.22119141 0.27929688 0.265625   0.18212891 0.125
 0.09960938 0.12695312 0.12695312 0.10449219]"
8,"[0.01171875 0.08984375 0.12207031 0.13769531 0.12597656 0.06054688
 0.12304688 0.14746094 0.14746094 0.13476562 0.04492188 0.10546875
 0.17871094 0.29101562 0.37841797 0.38720703 0.40966797 0.328125
 0.23730469 0.22119141 0.16601562 0.20947266 0.24707031 0.20214844
 0.28027344 0.34033203 0.44433594 0.55322266 0.57421875 0.55029297
 0.51416016 0.49755859 0.49462891 0.48144531 0.50244141 0.49267578
 0.484375   0.48925781 0.42773438 0.36621094 0.29638672 0.24560547
 0.2265625  0.22705078 0.22314453 0.23681641 0.25       0.22558594
 0.18115234 0.12451172 0.06933594 0.03222656 0.02685547 0.02392578
 0.02246094 0.01904297 0.01611328 0.01855469 0.02148438 0.02099609
 0.02587891 0.02099609 0.01660156 0.01757812 0.02001953 0.02539062
 0.04931641 0.08398438 0.15185547 0.19921875 0.23095703 0.23046875
 0.16552734 0.11621094 0.05908203 0.02490234 0.01708984 0.01464844
 0.01660156 0.01708984 0.02197266 0.03076172 0.03125    0.03027344
 0.02246094 0.01660156 0.02685547 0.07568359 0.12451172 0.15478516
 0.16210938 0.13378906 0.10205078 0.08007812 0.08105469 0.06884766
 0.05566406 0.046875   0.03027344 0.02587891 0.02636719 0.02587891
 0.02734375 0.02587891 0.02539062 0.03125    0.03466797 0.04638672
 0.06005859 0.07226562 0.11328125 0.13476562 0.14892578 0.12841797
 0.08300781 0.05175781 0.02392578 0.02441406 0.02050781 0.01611328
 0.01220703 0.01025391 0.00927734 0.015625   0.01513672 0.015625
 0.01513672 0.00830078 0.00976562 0.00976562 0.00976562 0.00976562
 0.00732422 0.00585938 0.00683594 0.00585938 0.01123047 0.01318359
 0.01318359 0.01611328 0.01464844 0.01806641 0.02050781 0.02197266
 0.02099609 0.01757812 0.01855469 0.01904297 0.02050781 0.02587891
 0.03222656 0.02978516 0.02636719 0.02294922 0.01367188 0.01318359
 0.01318359 0.01025391 0.0078125  0.00585938 0.0078125  0.00976562
 0.02441406 0.04003906 0.04150391 0.04150391 0.02783203 0.01367188
 0.01123047 0.01318359 0.01660156 0.01806641 0.02099609 0.02099609
 0.02001953 0.02001953 0.01855469 0.01708984 0.01708984 0.02148438
 0.02148438 0.02050781 0.02050781 0.01416016 0.01123047 0.00830078
 0.00732422 0.00634766 0.00585938 0.0078125  0.01855469 0.04394531
 0.05859375 0.08154297 0.09619141 0.10449219 0.11621094 0.12207031
 0.13623047 0.14746094 0.19140625 0.22021484 0.24804688 0.28125
 0.29785156 0.31884766 0.33007812 0.34667969 0.36083984 0.38037109
 0.40429688 0.41699219 0.44335938 0.44873047 0.47070312 0.47265625
 0.4296875  0.41210938 0.39501953 0.38330078 0.34472656 0.25683594
 0.23583984 0.22216797 0.23144531 0.2734375  0.20410156 0.18701172
 0.20117188 0.21484375 0.26367188 0.23730469 0.20117188 0.16650391
 0.17773438 0.16796875 0.14648438 0.16064453 0.10546875 0.07324219
 0.06152344 0.0234375  0.04980469 0.11425781 0.12597656 0.13867188
 0.08837891 0.03076172 0.03710938 0.02441406 0.02441406 0.05322266
 0.03515625 0.03515625 0.03515625 0.06445312 0.08398438 0.11425781
 0.11425781]"
