,chroma
0,"[0.88908386 0.9509051  0.9426281  0.91884345 0.9209737  0.90167683
 0.7518561  0.572593   0.61085206 0.7220045  0.65889984 0.79690653
 0.78755885 0.8089555  0.69948816 0.9392457  0.90366554 0.90142745
 0.7356891  0.66521645 0.8589011  0.87553936 0.876715   0.86594754
 0.7871596  0.8869485  0.8715053  0.43088898 0.4283644  0.5891902
 0.40670893 0.40650442 0.38739482 0.2991003  0.3692523  0.34783378
 0.4890368  0.69495535 0.71199566 0.64453816 0.7021797  0.6797963
 0.7968411  0.5761124  0.4590334  0.44940767 0.5273414  0.7356474
 0.57675236 0.4002439  0.2742905  0.23945498 0.26108405 0.35000288
 0.4804099  0.4421909  0.5061163  0.47110593 0.43446016 0.43430933
 0.56911975 0.5957217  0.43168405 0.47532102 0.5944529  0.6049881
 0.51415795 0.68329626 0.54881454 0.43103814 0.4592086  0.6138046
 0.70375013 0.53036284 0.49454904 0.45754123 0.49338254 0.6833616
 0.5348631  0.36408174 0.29986462 0.32781795 0.3745958  0.403042
 0.36861154 0.40440246 0.53298634 0.6597547  0.44805348 0.5340584
 0.53735787 0.5460649  0.6654796  0.6555174  0.5207138  0.39620495
 0.3163344  0.3279068  0.38593352 0.38111898 0.38050675 0.39293218
 0.49914488 0.43444148 0.70927763 0.62782747 0.39570758 0.33934298
 0.2998146  0.29317304 0.23651868 0.21753204 0.25193167 0.40851092
 0.5532092  0.652291   0.44886848 0.5622541  0.66430044 0.43698922
 0.34176108 0.26000223 0.29511198 0.4775714  0.56939167 0.53391796
 0.65200037 0.72822374 0.62971693 0.38565043 0.28043905 0.2742767
 0.30761418 0.3077393  0.2896581  0.31644568 0.33084825 0.37164822
 0.23768078 0.23337948 0.31490645 0.2622132  0.2132442  0.2771225
 0.42322317 0.5527346  0.45844567 0.68664163 0.539604   0.3934795
 0.4816449  0.5470292  0.6040693  0.6180686  0.54748464 0.4789833
 0.4774189  0.4858779  0.7097035  0.66283786 0.6510849  0.7665882
 0.7303639  0.78031176 0.74565214 0.7813589  0.7475951  0.56933665
 0.5331475  0.72380036 0.851459   0.7899661  0.8359992  0.7820607
 0.6544131  0.7600491  0.8488953  0.8611254  0.78225785 0.7105684
 0.7427303  0.8910497  0.7704434  0.8049288  0.7172486  0.73466223
 0.8055549  0.79972833 0.86948496 0.81925195 0.7930724  0.74229574
 0.8200407  0.7182582  0.7753709  0.81055623 0.7794511  0.7055741
 0.7838178  0.7438045  0.71585417 0.7842861  0.8120899  0.85657555
 0.84298944 0.79692596 0.82932955 0.7951956  0.8848842  0.77674574
 0.7803189  0.7713749  0.8574771  0.8498965  0.792643   0.864815
 0.7966845  0.74519914 0.8490617  0.8694007  0.90207595 0.83394885
 0.8191486  0.7502818  0.8119745  0.87938005 0.80850106 0.7808568
 0.7603318  0.80565995 0.8277545  0.84638613 0.83014566 0.8353998
 0.7517233  0.7739062  0.8258757  0.71062255 0.7405488  0.8148535
 0.68092495 0.        ]"
1,"[0.65444297 0.83087367 0.7731745  0.89314216 0.87699294 0.81991386
 0.86964315 0.8569346  0.82444376 0.8151169  0.86923975 0.7562613
 0.8156071  0.8157355  0.787383   0.79685664 0.7185123  0.8013355
 0.8021469  0.7712755  0.84103894 0.7443924  0.84771866 0.8217702
 0.9065966  0.74523467 0.68721944 0.67459583 0.5541744  0.55916077
 0.4447972  0.36225143 0.36722603 0.4901924  0.6856051  0.6419086
 0.6564872  0.6738985  0.7635829  0.75306606 0.70455027 0.8247614
 0.81745744 0.42298877 0.37156343 0.3888774  0.4426122  0.48567402
 0.708005   0.58929133 0.5537868  0.29744866 0.25065762 0.27323142
 0.41458818 0.38757047 0.3173967  0.36460772 0.6059026  0.4750994
 0.5706065  0.54977393 0.6078499  0.52800447 0.45798406 0.37010857
 0.34274647 0.3074638  0.40580377 0.66849965 0.593017   0.56687164
 0.47554454 0.43769193 0.45346597 0.53930074 0.43190703 0.5306462
 0.60129964 0.65818316 0.62229633 0.47373566 0.47756413 0.3047118
 0.27127376 0.33350444 0.29817864 0.45717648 0.64155275 0.51590836
 0.41321436 0.44546363 0.3748821  0.50590736 0.5081633  0.65290207
 0.6239999  0.54745    0.4297718  0.32889438 0.29167876 0.32360563
 0.29378554 0.27895916 0.31297892 0.3405304  0.35964337 0.37841704
 0.4280165  0.519509   0.3196486  0.40235248 0.3073062  0.27204457
 0.25882262 0.28920937 0.42538747 0.44048604 0.48946813 0.5361117
 0.6333231  0.3695828  0.40598953 0.42120084 0.3229025  0.26500085
 0.33390597 0.44345164 0.4068694  0.63613623 0.60833377 0.6040124
 0.41128656 0.42706278 0.2947475  0.2534592  0.26985285 0.4205209
 0.34139216 0.32368028 0.32952282 0.23230295 0.21314968 0.26387736
 0.46408665 0.32745788 0.53761214 0.66719913 0.5074249  0.57049614
 0.5984346  0.49563637 0.49765363 0.52442086 0.47878328 0.47144458
 0.39332393 0.41280985 0.38458505 0.349061   0.37791547 0.44882616
 0.4779404  0.405977   0.5385129  0.71251965 0.6297967  0.8418932
 0.7537954  0.6676779  0.6270508  0.67311853 0.61924285 0.75531536
 0.8125755  0.69988394 0.7306941  0.6756096  0.7580567  0.7140603
 0.8463784  0.7555213  0.7054053  0.7532396  0.67701656 0.6986871
 0.71502084 0.63115793 0.7527029  0.7273728  0.7374997  0.5015405
 0.6754667  0.69963986 0.54490596 0.682349   0.5712324  0.72219086
 0.79977036 0.8094953  0.6005133  0.5583704  0.5626102  0.70635396
 0.7645126  0.73397475 0.7573549  0.80461437 0.80250853 0.7199232
 0.6906975  0.7169009  0.7100869  0.647798   0.73473954 0.664227
 0.6269667  0.68425804 0.7350412  0.7606013  0.7939348  0.79475945
 0.94565654 0.9225636  0.8692433  0.8201229  0.8427512  0.7201186
 0.76169205 0.7909698  0.7767525  0.58720106 0.6226367  0.8821624
 0.8569637  0.8227246  0.67468244 0.757026   0.78314203 0.8277583
 0.74244267 0.85044485 0.72805566 0.66960317 0.8028336 ]"
2,"[0.4448712  0.49553964 0.6081821  0.76855654 0.7929342  0.70978665
 0.760606   0.8473851  0.7502739  0.68091065 0.77860385 0.6298353
 0.750308   0.8189886  0.90333134 0.7959242  0.8499914  0.65848523
 0.6202229  0.7587716  0.7397857  0.6674102  0.6370211  0.565169
 0.66727257 0.6911643  0.7505207  0.8775664  0.61446863 0.49824116
 0.57781893 0.80278033 0.82599974 0.776753   0.7614922  0.6016079
 0.51034474 0.6810362  0.62802655 0.81171197 0.7138691  0.7050564
 0.7424598  0.65785474 0.5997632  0.56435394 0.3857199  0.30800173
 0.34405836 0.26577112 0.25367475 0.24522245 0.26701534 0.27183065
 0.32000455 0.38484505 0.29863963 0.28898773 0.36357287 0.40815794
 0.39750996 0.49802995 0.43569496 0.36488423 0.5020456  0.66044235
 0.67280155 0.68487763 0.6052132  0.3962709  0.6285183  0.49276116
 0.4422963  0.40410888 0.44978842 0.56037325 0.6628403  0.2695936
 0.3198542  0.32674617 0.25819108 0.21833284 0.2549959  0.3514799
 0.47528484 0.6912177  0.61303455 0.3236733  0.31891128 0.5435667
 0.48459378 0.5601443  0.45399714 0.4646002  0.45511135 0.39905882
 0.3813051  0.42325553 0.35492158 0.4343637  0.43941388 0.40051877
 0.42117003 0.51559836 0.46554244 0.62810516 0.5475705  0.35625815
 0.34189048 0.3492893  0.33301154 0.30320233 0.37382898 0.42728433
 0.42954943 0.42118987 0.38275453 0.59208506 0.66882807 0.71366906
 0.41344655 0.3225544  0.32041088 0.4272721  0.4969776  0.4506885
 0.53956014 0.4585999  0.41509894 0.42334095 0.437327   0.28458074
 0.26115456 0.2465108  0.26043987 0.27157477 0.3043006  0.33696234
 0.34022143 0.40353504 0.30131996 0.36555862 0.36092916 0.3217717
 0.1991073  0.22267438 0.43683183 0.62685615 0.62501204 0.5823007
 0.5309141  0.5664782  0.6440672  0.4962348  0.51243764 0.3682766
 0.378728   0.48600963 0.62176746 0.46563682 0.57722217 0.59971267
 0.57935405 0.59256095 0.6972113  0.6935692  0.48457703 0.47296634
 0.65324706 0.5295157  0.65831107 0.6508756  0.71117765 0.5587593
 0.628637   0.66094834 0.6267122  0.6475436  0.57278985 0.6554537
 0.6810928  0.6828831  0.64890254 0.7278881  0.7924815  0.80719185
 0.8051341  0.80192685 0.8409558  0.77825636 0.8421056  0.64645344
 0.67922956 0.870912   0.7374179  0.83615947 0.7205408  0.7476309
 0.6733238  0.71257013 0.80372745 0.78900796 0.82635504 0.87602544
 0.85025483 0.79321027 0.79847604 0.         0.712948   0.8212082
 0.8171601  0.8111236  0.7763252  0.7048311  0.75997853 0.81419164
 0.6739149  0.61097205 0.82090193 0.8516082  0.8530448  0.8123563
 0.77671725 0.77554125 0.85536677 0.7680368  0.8180723  0.7984977
 0.630292   0.72182274 0.78131884 0.81204104 0.8522164  0.7879525
 0.8187435  0.9100717  0.8426617  0.9014845  0.8237357 ]"
3,"[0.7602756  0.794385   0.76302344 0.844455   0.8401931  0.7762715
 0.6041228  0.75814366 0.83679247 0.75530934 0.59758645 0.73054194
 0.78701425 0.87511617 0.7095614  0.56435853 0.6403944  0.78846794
 0.7438226  0.7553188  0.70640856 0.74770117 0.85041636 0.79351205
 0.7899683  0.81827754 0.72011155 0.8765273  0.9148765  0.94899327
 0.82500106 0.8338309  0.8432593  0.8586747  0.64877206 0.60818833
 0.5813132  0.75006086 0.77741355 0.762779   0.77350587 0.8231496
 0.545346   0.4761072  0.68318367 0.64823395 0.3647741  0.39166906
 0.2767751  0.27845934 0.28086713 0.24474347 0.26378828 0.3126977
 0.39891553 0.39693722 0.43019155 0.45130217 0.4196564  0.409941
 0.3775126  0.39567938 0.6405427  0.6514828  0.71498173 0.4210693
 0.44638634 0.41424096 0.6630669  0.49875367 0.4068279  0.37083304
 0.48555878 0.45578662 0.5286463  0.5272184  0.31941044 0.32551488
 0.32819426 0.4222206  0.47097313 0.43770692 0.6036038  0.55999833
 0.34303936 0.33388296 0.36387956 0.43451753 0.4416766  0.59078974
 0.48203516 0.4987742  0.42670384 0.46664608 0.5931583  0.7244017
 0.56772655 0.5524897  0.352612   0.5012978  0.5556251  0.5281608
 0.36463115 0.38149926 0.41790923 0.39117363 0.32186678 0.28600386
 0.33498    0.54982764 0.60148555 0.395219   0.6569242  0.58129233
 0.4730482  0.35944006 0.41132677 0.5388435  0.6338847  0.77844673
 0.7372827  0.6312716  0.54081714 0.40448472 0.5303028  0.2935436
 0.24478473 0.22358243 0.2227277  0.29957935 0.25088915 0.3058388
 0.35476407 0.356431   0.23998196 0.2753221  0.46975648 0.38829985
 0.5962153  0.5438151  0.44523135 0.6440977  0.7384522  0.61336625
 0.48575827 0.5493823  0.56164604 0.45397902 0.45932505 0.5648503
 0.613188   0.6674711  0.63443524 0.70845705 0.7477688  0.5326734
 0.5281606  0.41332233 0.6328551  0.59891325 0.8214548  0.785162
 0.65381294 0.4940965  0.55255514 0.8062394  0.76604366 0.78027195
 0.5616582  0.6931117  0.71570176 0.5519429  0.6564546  0.6673493
 0.7306347  0.6702626  0.60301334 0.695623   0.54516095 0.5357413
 0.5803589  0.71165323 0.6983526  0.7536762  0.7350697  0.6835837
 0.70786434 0.5646989  0.6727465  0.7294035  0.6885667  0.5679335
 0.5186018  0.5122392  0.8129289  0.8253877  0.7990021  0.7285972
 0.780696   0.6695197  0.5942948  0.87627083 0.76093554 0.89210457
 0.7137169  0.75027007 0.8001361  0.73475885 0.7994993  0.69488406
 0.7831552  0.8553274  0.80808383 0.78184634 0.80330485 0.7802951
 0.79827166 0.76598483 0.93537503 0.8427305  0.77272016 0.78749347
 0.800637   0.78753066 0.74872607 0.79679656 0.8218891  0.840837
 0.77816623 0.7368067 ]"
4,"[0.         0.8028249  0.7615967  0.7629048  0.8013041  0.9504452
 0.5600762  0.56414115 0.6082352  0.8834295  0.64363515 0.74752307
 0.8287905  0.7670505  0.904078   0.6919496  0.95043206 0.9504326
 0.95043373 0.7771196  0.7270903  0.71162516 0.79449123 0.75744367
 0.82331544 0.81202716 0.26877782 0.26719394 0.26918107 0.8148675
 0.797395   0.7368266  0.8111582  0.8343854  0.79563826 0.7647194
 0.5376623  0.3799975  0.4143182  0.69882673 0.77261657 0.8424294
 0.7168727  0.4804093  0.453408   0.36323723 0.34937763 0.28624997
 0.4153817  0.42079902 0.5714457  0.5585047  0.49611273 0.41456342
 0.35033783 0.34620366 0.35474882 0.38551858 0.43364167 0.33161458
 0.47382823 0.46666864 0.46545887 0.47066072 0.38730606 0.53805983
 0.4826964  0.6456918  0.768068   0.7571114  0.5221848  0.3876976
 0.31408244 0.3778452  0.45008802 0.47973967 0.5787398  0.3516173
 0.29466504 0.25250253 0.23154585 0.27127123 0.532927   0.61831325
 0.55319446 0.49066374 0.44225147 0.5392117  0.5195493  0.6305972
 0.5257674  0.5883163  0.4355662  0.39149556 0.2688232  0.21990274
 0.36044383 0.27386174 0.5702439  0.46801892 0.3425726  0.2766241
 0.33779076 0.39973772 0.37472513 0.51113087 0.6035763  0.62613124
 0.466704   0.5827641  0.56234074 0.64160913 0.65236145 0.6029231
 0.60697967 0.54367644 0.5354772  0.5240907  0.39155328 0.331857
 0.29601598 0.32857648 0.34245875 0.359452   0.35150266 0.37932834
 0.42327955 0.41988423 0.42265356 0.6266596  0.4645501  0.42587757
 0.31317592 0.35147443 0.3631712  0.34522104 0.33334568 0.32709852
 0.34439087 0.3822951  0.4033939  0.39837417 0.5737345  0.4279184
 0.38218644 0.33287838 0.25167742 0.24115367 0.3362212  0.43722877
 0.60408664 0.39412037 0.32272586 0.500246   0.77903795 0.44743255
 0.3044741  0.2509711  0.30206245 0.3512317  0.31680912 0.33069044
 0.45515344 0.38144374 0.29470602 0.25801224 0.27904394 0.26812896
 0.27427232 0.3088534  0.48840192 0.6346697  0.527287   0.7413319
 0.60037404 0.5444123  0.40954128 0.33133104 0.4806539  0.5282653
 0.45496798 0.4086583  0.46121475 0.36491403 0.46685076 0.64651763
 0.6724358  0.7559635  0.60124046 0.6949735  0.7089174  0.65366894
 0.44516602 0.5207404  0.5315532  0.63240993 0.66171724 0.44708875
 0.4297551  0.5483901  0.53499156 0.5961384  0.6142431  0.6043225
 0.57968163 0.6640175  0.7003016  0.69649625 0.78282046 0.90258604
 0.7911008  0.78065234 0.7257204  0.85853845 0.6824449  0.757332
 0.6692483  0.7033698  0.8339722  0.68899053 0.8463066  0.8586375
 0.87297183 0.73116297 0.7689001  0.79206747 0.8206072  0.9087449
 0.843028   0.7700734  0.6677374  0.81152076 0.89945203 0.7155342
 0.6645982  0.793801   0.7652692  0.7353285  0.7131264  0.7696769
 0.8266861  0.8113645  0.79835606 0.747591   0.71567005 0.7537736
 0.91565734 0.83589983 0.7859857  0.7021683  0.8599394  0.75836444
 0.89954376 0.7985027  0.8147648  0.84417266 0.72648364 0.76949024
 0.93558574]"
5,"[0.61350584 0.61576277 0.6201873  0.7309384  0.64092386 0.7993982
 0.7872098  0.8114814  0.8597161  0.86299914 0.9248979  0.7309393
 0.68034464 0.8597619  0.87358165 0.57052004 0.50899506 0.68058246
 0.67737085 0.73631114 0.8459065  0.7335532  0.7654402  0.7378083
 0.6979125  0.8438659  0.8408442  0.7801096  0.72944957 0.7093547
 0.8484502  0.85654694 0.7111041  0.95348305 0.93631524 0.9436052
 0.75556684 0.66953087 0.6980905  0.66127455 0.7539242  0.8474311
 0.6537036  0.58090246 0.5441143  0.44536737 0.35859966 0.3768843
 0.57643396 0.59235096 0.6165764  0.5814468  0.37616777 0.27841038
 0.25944695 0.28621933 0.35816583 0.3441541  0.45428768 0.5914196
 0.4643846  0.40569255 0.53850573 0.5622666  0.45119533 0.5640791
 0.60164213 0.61249834 0.52848214 0.5036879  0.60700387 0.4848933
 0.43050674 0.39731047 0.3833547  0.36144602 0.52364236 0.31962308
 0.2731863  0.26333773 0.2542121  0.26345408 0.36674738 0.4573492
 0.8127945  0.8243157  0.7488083  0.71239185 0.7571909  0.7441557
 0.71120185 0.6710064  0.44808766 0.4436184  0.5344806  0.58484817
 0.45537588 0.5668075  0.45300272 0.6423176  0.5063491  0.34419063
 0.3928541  0.4001211  0.36878458 0.43737343 0.4174626  0.43171597
 0.46393457 0.7178555  0.7142117  0.5781654  0.38556397 0.47006416
 0.55674917 0.4928926  0.5849197  0.6405242  0.6213815  0.590694
 0.44584098 0.40019974 0.37393513 0.41317418 0.41119123 0.3939781
 0.3895619  0.45144555 0.4281948  0.40629545 0.49613705 0.4980454
 0.45986128 0.57774615 0.5002236  0.43654826 0.69102556 0.4875615
 0.41494635 0.2824266  0.27620378 0.29495168 0.3365153  0.3644391
 0.39292955 0.48752177 0.4177005  0.42099595 0.43505558 0.4692173
 0.5646699  0.47321525 0.45182624 0.40407535 0.30474386 0.27962127
 0.2910008  0.39583564 0.61125886 0.6120548  0.67057043 0.57348835
 0.4409397  0.57588357 0.4799728  0.3427875  0.3085747  0.39521274
 0.35395303 0.26032344 0.2467723  0.30595303 0.38577688 0.48507166
 0.51209044 0.6538306  0.6582446  0.79279727 0.79697555 0.7723431
 0.66429    0.667715   0.6311049  0.5948112  0.51529646 0.44560587
 0.5682736  0.42783245 0.4431286  0.6337145  0.532527   0.46968007
 0.51360846 0.5504556  0.75252837 0.7600512  0.66157615 0.6143302
 0.67125845 0.63481104 0.661956   0.65331703 0.69696283 0.49760902
 0.45359182 0.5715389  0.6942587  0.60319185 0.6709675  0.7146392
 0.68708295 0.8104715  0.776447   0.7046638  0.74801254 0.8260879
 0.85869884 0.78357697 0.7526365  0.8010144  0.78216463 0.80707496
 0.87367994 0.8183813  0.81134176 0.7863283  0.9320905  0.806398
 0.8189795  0.8287342  0.76438    0.75297976 0.7428057  0.80074483
 0.79403424 0.7992709  0.85927624 0.8335491  0.798641   0.83606106
 0.94428474 0.94925857 0.94925636 0.94915754 0.94916636 0.94916636
 0.8193803  0.78493476 0.76543015 0.7341178  0.7330887  0.82281685
 0.         0.9362282  0.7754955  0.76735    0.8552968  0.7641496
 0.8329349 ]"
6,"[0.7575856  0.75469345 0.75221306 0.79296607 0.8190005  0.7411478
 0.8353967  0.73491746 0.73532265 0.6740462  0.77994674 0.7536571
 0.75471324 0.7555161  0.769811   0.731841   0.8467738  0.82774
 0.79521626 0.6526479  0.65312296 0.8086615  0.7929123  0.75123215
 0.8347685  0.79160285 0.89116734 0.89688563 0.4122099  0.510613
 0.32138056 0.31676704 0.3469412  0.57493377 0.7915492  0.7373249
 0.6484081  0.6869095  0.7230232  0.5709184  0.6359337  0.62812084
 0.6316022  0.50106573 0.52212673 0.4950138  0.3195434  0.3285155
 0.3074759  0.30647996 0.48315406 0.38459626 0.40539488 0.43722096
 0.34909153 0.34329715 0.35040936 0.31433627 0.26791355 0.29997733
 0.31746906 0.36610663 0.3137555  0.31906155 0.30618718 0.35241666
 0.2902622  0.317451   0.56196564 0.56934947 0.5368274  0.65580595
 0.66555333 0.71366453 0.4462788  0.4008439  0.3929857  0.39188242
 0.48825148 0.5575842  0.7341328  0.5958677  0.41904148 0.4350628
 0.53257763 0.515574   0.67693263 0.4549204  0.5351512  0.25478086
 0.21772347 0.14130832 0.15670994 0.20713834 0.24710314 0.22307706
 0.2710661  0.2708768  0.26983508 0.7566561  0.39064145 0.3413836
 0.3530337  0.6128463  0.56189924 0.49535194 0.46729663 0.5327316
 0.45980835 0.470605   0.41022554 0.37902188 0.39011502 0.38564277
 0.37049806 0.3665935  0.3900375  0.3772981  0.3623676  0.38748887
 0.38060093 0.37289974 0.4731207  0.5391603  0.48180333 0.4644942
 0.7038102  0.60773426 0.6075644  0.3310827  0.31380692 0.3752706
 0.40505555 0.42058384 0.47828102 0.47166082 0.35851875 0.32275122
 0.36989263 0.5387513  0.43859282 0.6073225  0.5820509  0.4022391
 0.28951135 0.2436517  0.3041101  0.47562292 0.6519566  0.5438147
 0.47974315 0.74416757 0.55264646 0.44612357 0.3911326  0.45262364
 0.4364237  0.30155078 0.24625634 0.23049253 0.23478842 0.2838886
 0.3092604  0.41049993 0.48382202 0.60455453 0.5547553  0.700409
 0.7820709  0.76734155 0.6865576  0.6347312  0.6559618  0.60057443
 0.6672793  0.62949896 0.56958157 0.508406   0.47989675 0.39974502
 0.323046   0.4090153  0.59940547 0.5356228  0.70309037 0.79795957
 0.6216903  0.7707665  0.6451561  0.7800159  0.52099556 0.564895
 0.7341738  0.61707085 0.7722921  0.494478   0.46971926 0.55830103
 0.627456   0.6934896  0.74931353 0.8277714  0.6842456  0.76248366
 0.7743712  0.6336461  0.66069394 0.83986956 0.76585317 0.68043226
 0.7259976  0.78571445 0.8783672  0.83466196 0.72169155 0.7752845
 0.8357291  0.8693764  0.85053724 0.80209786 0.84613365 0.8346414
 0.76204133 0.81597257 0.8564723  0.7490161  0.7237877  0.75630873
 0.77070427 0.81525546 0.7682467  0.93978095 0.94437045 0.88841933
 0.8567514  0.79946136 0.7747559  0.779478   0.74288946 0.721932
 0.70361584 0.7035126  0.9233253  0.7792995  0.88152844 0.7478735
 0.83878684 0.87941474 0.7872961  0.88701016 0.90450907 0.94186646
 0.94900876 0.7979221  0.77760345 0.7761846  0.6973961  0.69133824
 0.84919196]"
7,"[0.9372692  0.6650629  0.49991226 0.5957212  0.7989847  0.7363108
 0.76937205 0.8121291  0.7287093  0.81908584 0.7688518  0.846504
 0.86988163 0.70572853 0.76927465 0.78017443 0.35008037 0.3388821
 0.3450755  0.85670614 0.8568236  0.69669443 0.9159715  0.86564726
 0.8777008  0.83289105 0.8459423  0.7448382  0.79095143 0.5315972
 0.62574774 0.8001701  0.85694623 0.8397047  0.8862812  0.7613165
 0.7747472  0.6765402  0.58750397 0.45204034 0.7078135  0.7715547
 0.853858   0.51725173 0.5215927  0.577888   0.4736711  0.43424687
 0.34578538 0.34616128 0.33883595 0.3567622  0.36935237 0.37707233
 0.30977178 0.30424938 0.3421117  0.28271005 0.25678873 0.2636344
 0.324316   0.29035488 0.27037153 0.2745779  0.3431699  0.31305274
 0.3349518  0.40288934 0.5770742  0.54304874 0.43455854 0.41648576
 0.43764806 0.5003202  0.64739186 0.6455643  0.5932165  0.64184994
 0.41615257 0.4785757  0.4789578  0.3834659  0.36194584 0.41278446
 0.4998739  0.63118017 0.662059   0.394137   0.27418968 0.25084448
 0.2681086  0.35144088 0.26021266 0.250476   0.3368232  0.3549001
 0.58591074 0.6699608  0.438826   0.31659648 0.31515908 0.48264682
 0.48982188 0.5760384  0.51611406 0.46258774 0.43190086 0.4104247
 0.37336436 0.35384607 0.3545803  0.35689154 0.34726354 0.35189262
 0.36736068 0.35411546 0.3401645  0.3510414  0.345646   0.35565874
 0.46164635 0.5896916  0.67556983 0.584474   0.6383701  0.5482366
 0.50510174 0.35055438 0.3495935  0.3518875  0.35187876 0.4834142
 0.44969583 0.38872972 0.3963124  0.38001347 0.42823696 0.5250218
 0.566254   0.5001696  0.34992173 0.24704719 0.25084516 0.34113395
 0.45203185 0.70394516 0.5398025  0.6007565  0.5328501  0.52847815
 0.4132403  0.29060376 0.3383888  0.36097193 0.43648925 0.3286255
 0.28631493 0.25091514 0.26128456 0.30164424 0.36208582 0.56956077
 0.4730871  0.45295063 0.5262841  0.75535655 0.74319726 0.6510832
 0.5797908  0.4987538  0.46305084 0.5246521  0.6226365  0.5477684
 0.5336095  0.50276774 0.5717603  0.4319767  0.55415505 0.48290512
 0.49202958 0.59856635 0.4578874  0.54872847 0.78990704 0.623992
 0.7621278  0.677521   0.65026873 0.58423674 0.6978278  0.62320083
 0.7392309  0.80340266 0.64139956 0.75838256 0.79458857 0.777425
 0.69274473 0.8137339  0.67248034 0.69777006 0.66818887 0.72115165
 0.7281706  0.7324975  0.7449691  0.73106486 0.7572606  0.760524
 0.7404878  0.6948703  0.8181236  0.86066216 0.8093093  0.80614465
 0.76217395 0.77982527 0.8241193  0.9202171  0.83338094 0.68979603
 0.7140057  0.8025112  0.8267033  0.7118822  0.78209144 0.80033255
 0.8856341  0.8512242  0.7984383  0.75764275 0.67211527 0.74707836
 0.8056887  0.7527656  0.79367733 0.82863736 0.82830095 0.77897334
 0.6873159  0.8110142  0.84099627 0.6939569  0.8152719  0.7733352
 0.83969164 0.84041816 0.8663381  0.8112419  0.7682106  0.9035546
 0.68821484 0.80210656 0.7594945  0.7840771 ]"
8,"[0.9337363  0.77427983 0.80834013 0.8188922  0.8805451  0.88069624
 0.8975131  0.8607328  0.81026167 0.7383669  0.89270145 0.8373448
 0.8323799  0.82525206 0.8247873  0.8619263  0.8372469  0.80682033
 0.8733426  0.82818705 0.7095135  0.7566089  0.6899478  0.7467225
 0.84997654 0.7887624  0.8376505  0.84400564 0.58401394 0.5636857
 0.58648294 0.8170062  0.8278305  0.8019073  0.82175356 0.75587755
 0.79339916 0.82749194 0.8255208  0.69438076 0.7557046  0.7811332
 0.85525227 0.7392779  0.6320872  0.3323106  0.43405405 0.49703273
 0.45499372 0.7198401  0.7465348  0.6250652  0.44934574 0.32119548
 0.2925994  0.3165662  0.33275017 0.3634013  0.40725234 0.4694393
 0.5068878  0.49575612 0.5150353  0.5236875  0.5222978  0.45496607
 0.71269053 0.5886181  0.52264464 0.5463746  0.5097604  0.51763266
 0.7029589  0.55710226 0.43682513 0.37276003 0.38923064 0.38025698
 0.44273075 0.44391504 0.50845    0.80890983 0.7594344  0.6960182
 0.7313431  0.747564   0.7312172  0.6160351  0.60889107 0.43365678
 0.6537096  0.56883305 0.5100327  0.5050915  0.41715452 0.338758
 0.5540852  0.51577264 0.43598077 0.46156785 0.39235246 0.40922546
 0.45149457 0.59961945 0.5166145  0.46602133 0.67555946 0.7217589
 0.5964743  0.54158556 0.6969057  0.5610209  0.63982373 0.69228363
 0.7103402  0.555074   0.4557359  0.35584784 0.3797277  0.49618673
 0.47854665 0.54245013 0.538986   0.5752309  0.4961939  0.48640764
 0.51159686 0.5905681  0.61283225 0.53453857 0.45373034 0.40459123
 0.4127797  0.52428144 0.6998871  0.59251446 0.6137565  0.7309947
 0.68754154 0.5867632  0.40090808 0.33364642 0.3435166  0.4633062
 0.61954343 0.67988324 0.50233954 0.36314845 0.292119   0.24797535
 0.24732824 0.28884843 0.50019544 0.562275   0.6602973  0.45389435
 0.3959868  0.4127268  0.63022643 0.6173465  0.7582504  0.6767664
 0.71179676 0.65446407 0.58628315 0.5567659  0.4398165  0.39361426
 0.49947083 0.51623654 0.49061832 0.45379233 0.39840996 0.36969146
 0.41702127 0.4394134  0.30671337 0.23862319 0.22891043 0.31478515
 0.40100423 0.35533655 0.32580134 0.33916685 0.41175726 0.75737864
 0.63971543 0.55214053 0.57312644 0.59180033 0.5818278  0.5728823
 0.58248687 0.5734373  0.33487847 0.30730572 0.4344481  0.43646252
 0.25814253 0.38058624 0.49168503 0.61749023 0.53061044 0.56059885
 0.64571923 0.7485675  0.62395227 0.5125838  0.62292856 0.76578707
 0.6512416  0.71074367 0.69609445 0.6393413  0.7217     0.6618268
 0.6529818  0.6274943  0.67627436 0.69927925 0.75921106 0.7381861
 0.7189687  0.8851281  0.761426   0.70611054 0.7958452  0.8190691
 0.8287484  0.7627248  0.83935523 0.82880974 0.85925627 0.7814059
 0.72420925 0.7267459  0.7953232  0.7598755  0.767291   0.8131072
 0.6769564  0.64873594 0.7954717  0.8156378  0.81467533 0.8133735
 0.90686613 0.95004004 0.93927926 0.90390927 0.910723   0.83132726
 0.73389715 0.7796934  0.92146343 0.8067834  0.78322977 0.81058687
 0.8177157 ]"
